,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
32,Bubaque,GW,11.2833,-15.8333,80.73,56,0,12.53,clear sky
33,Punta Arenas,CL,-53.15,-70.9167,57.2,51,40,27.63,scattered clouds
34,Jijiga,ET,9.35,42.8,64.67,40,0,11.86,clear sky
35,Cidreira,BR,-30.1811,-50.2056,85.26,67,35,8.57,scattered clouds
36,Ponta Do Sol,PT,32.6667,-17.1,64.0,73,39,5.01,scattered clouds
37,Mayna,RU,54.1135,47.6231,20.5,97,45,8.75,scattered clouds
38,Mahebourg,MU,-20.4081,57.7,78.8,89,75,5.75,broken clouds
39,Kloulklubed,PW,7.0419,134.2556,78.8,83,75,6.91,broken clouds
40,Rikitea,PF,-23.1203,-134.9692,79.07,74,74,10.8,light rain
41,Souillac,MU,-20.5167,57.5167,78.8,89,75,5.75,broken clouds
42,Qaanaaq,GL,77.484,-69.3632,-5.24,72,99,1.83,overcast clouds
43,Sibolga,ID,1.7427,98.7792,77.04,83,100,3.2,overcast clouds
44,Narsaq,GL,60.9167,-46.05,41.0,30,75,35.68,broken clouds
45,Kashi,CN,39.4547,75.9797,24.8,58,0,6.71,clear sky
46,Placido De Castro,BR,-10.3353,-67.1856,81.39,89,83,3.18,broken clouds
47,New Norfolk,AU,-42.7826,147.0587,53.01,67,7,2.53,clear sky
48,Albany,US,42.6001,-73.9662,17.01,49,0,3.0,clear sky
49,Lagoa,PT,39.05,-27.9833,62.37,90,8,31.09,clear sky
50,Hermanus,ZA,-34.4187,19.2345,71.01,77,0,5.01,clear sky
51,Shimoda,JP,34.6667,138.95,35.01,76,0,1.99,clear sky
52,Jamestown,US,42.097,-79.2353,25.0,79,90,4.9,light snow
53,Kavieng,PG,-2.5744,150.7967,82.31,77,41,14.34,scattered clouds
54,East London,ZA,-33.0153,27.9116,73.4,78,40,8.05,scattered clouds
55,Consett,GB,54.854,-1.8316,36.0,79,94,6.96,overcast clouds
56,Roebourne,AU,-20.7833,117.1333,85.06,57,88,11.21,light rain
57,Mahibadhoo,MV,3.7833,72.9667,81.25,74,0,11.68,clear sky
58,Makakilo City,US,21.3469,-158.0858,71.6,83,1,3.44,light rain
59,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,40,3.44,scattered clouds
60,Loandjili,CG,-4.7561,11.8578,84.2,89,75,9.22,broken clouds
61,Nhlangano,SZ,-27.1167,31.2,69.42,97,91,3.33,moderate rain
62,San Patricio,US,28.017,-97.5169,75.2,69,75,27.63,broken clouds
63,Nouadhibou,MR,20.931,-17.0347,87.8,19,68,12.66,broken clouds
64,Vinh,VN,18.6667,105.6667,65.25,91,91,2.84,overcast clouds
65,Nikolskoye,RU,59.7035,30.7861,28.0,100,90,4.47,light snow
66,Hithadhoo,MV,-0.6,73.0833,82.89,75,78,13.2,broken clouds
67,Buchanan,LR,5.8808,-10.0467,84.2,74,75,4.61,light rain
68,Port Alfred,ZA,-33.5906,26.891,69.01,86,0,4.14,clear sky
69,Skegness,GB,53.1436,0.3363,37.4,75,75,19.57,broken clouds
70,Codrington,AU,-38.2667,141.9667,55.89,81,20,4.72,few clouds
71,Rawa Mazowiecka,PL,51.7644,20.2549,30.0,10,98,12.28,overcast clouds
72,Hobart,AU,-42.8794,147.3294,53.01,82,1,4.61,clear sky
73,Deputatskiy,RU,69.3,139.9,-32.35,86,97,1.86,overcast clouds
74,Yumen,CN,40.2833,97.2,24.51,73,0,24.2,clear sky
75,Yamada,JP,39.4667,141.95,25.0,89,4,6.08,clear sky
76,Leningradskiy,RU,69.3833,178.4167,-26.91,84,82,2.08,broken clouds
77,Shiyan,CN,32.6475,110.7781,47.17,51,68,1.3,broken clouds
78,Beaufort,MY,5.3473,115.7455,80.01,89,40,3.44,scattered clouds
79,Ancud,CL,-41.8697,-73.8203,66.2,48,0,6.91,clear sky
80,Esperance,AU,-33.8667,121.9,59.0,82,0,12.66,clear sky
81,Tutoia,BR,-2.7619,-42.2744,89.6,62,20,21.85,few clouds
82,Bluff,NZ,-46.6,168.3333,48.0,80,59,8.01,broken clouds
83,Popondetta,PG,-8.7537,148.2534,76.32,92,100,2.93,moderate rain
84,Gaoual,GN,11.75,-13.2,103.51,7,0,5.44,clear sky
85,Port Lincoln,AU,-34.7333,135.8667,59.63,81,9,12.73,clear sky
86,Micheweni,TZ,-4.9667,39.8333,80.4,78,90,13.2,overcast clouds
87,Itaituba,BR,-4.2761,-55.9836,86.0,70,75,3.44,broken clouds
88,Saskylakh,RU,71.9167,114.0833,-38.56,78,35,7.99,scattered clouds
89,Viedma,AR,-40.8135,-62.9967,75.99,29,60,11.21,broken clouds
90,Thompson,CA,55.7435,-97.8558,12.2,85,90,3.06,light snow
91,Lompoc,US,34.6391,-120.4579,48.0,93,1,4.61,clear sky
92,Kalmunai,LK,7.4167,81.8167,77.7,84,77,6.44,broken clouds
93,Yellowknife,CA,62.456,-114.3525,-16.01,76,40,5.75,scattered clouds
94,Olafsvik,IS,64.8945,-23.7142,23.52,91,36,20.65,scattered clouds
95,Pointe Michel,DM,15.25,-61.3833,82.4,74,75,6.91,broken clouds
96,Airai,TL,-8.9266,125.4092,61.68,100,100,5.01,overcast clouds
97,Okhotsk,RU,59.3833,143.3,-12.23,79,0,15.48,clear sky
98,Tiksi,RU,71.6872,128.8694,-26.36,86,100,5.57,overcast clouds
99,Krasnoselkup,RU,65.7,82.4667,-33.3,78,36,8.03,scattered clouds
100,Kapaa,US,22.0752,-159.319,71.6,88,40,17.27,moderate rain
101,Ninotsminda,GE,41.2646,43.5916,24.8,68,20,8.05,few clouds
102,Castro,BR,-24.7911,-50.0119,72.63,86,90,5.97,overcast clouds
103,Bethel,US,41.3712,-73.414,21.99,45,1,8.05,clear sky
104,Touros,BR,-5.1989,-35.4608,87.8,55,40,13.8,scattered clouds
105,Khatanga,RU,71.9667,102.5,-45.35,77,4,1.59,clear sky
106,Busselton,AU,-33.65,115.3333,68.0,64,0,1.99,clear sky
107,Faya,SA,18.3851,42.4509,60.8,63,0,4.61,clear sky
108,Maceio,BR,-9.6658,-35.7353,84.2,70,75,12.66,broken clouds
109,Hualmay,PE,-11.0964,-77.6139,75.69,64,82,9.95,broken clouds
110,Yashkino,RU,55.8736,85.4265,-27.0,75,0,2.24,clear sky
111,New York,US,40.7143,-74.006,28.4,50,1,6.91,clear sky
112,Chernyshevskiy,RU,63.0128,112.4714,-34.37,84,100,4.52,overcast clouds
113,Bemidji,US,47.4736,-94.8803,26.01,86,90,9.22,overcast clouds
114,Tuatapere,NZ,-46.1333,167.6833,48.0,80,69,8.01,broken clouds
115,Upernavik,GL,72.7868,-56.1549,-9.78,86,2,7.78,clear sky
116,Laredo,US,27.5064,-99.5075,71.6,73,20,12.66,few clouds
117,Ketchikan,US,55.3422,-131.6461,35.6,93,90,6.91,light rain
118,Ozinki,RU,51.1786,49.6769,23.27,96,93,11.65,overcast clouds
119,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,17.27,broken clouds
120,Avera,US,33.194,-82.5271,50.0,40,1,9.22,clear sky
121,Rockland,US,41.1668,-74.0496,26.01,49,0,8.28,clear sky
122,Ilulissat,GL,69.2167,-51.1,3.2,60,40,8.05,scattered clouds
123,Atuona,PF,-9.8,-139.0333,78.44,77,38,17.0,light rain
124,Nevelsk,RU,46.6733,141.8633,10.4,85,75,4.47,broken clouds
125,Yabrud,SY,33.9674,36.6574,44.6,87,75,11.5,broken clouds
126,Lerik,AZ,38.7726,48.4128,44.6,100,90,3.44,overcast clouds
127,Mut,TR,36.6439,33.4389,46.76,79,100,10.09,moderate rain
128,Carnarvon,AU,-24.8667,113.6333,82.4,65,30,10.36,scattered clouds
129,Linjiang,CN,41.8069,126.9078,1.47,86,16,1.54,few clouds
130,San Quintin,MX,30.4833,-115.95,57.83,55,3,4.07,clear sky
131,Castrillon,ES,43.3979,-6.7922,51.8,66,40,23.02,scattered clouds
132,Den Helder,NL,52.9599,4.7593,33.01,80,90,13.8,overcast clouds
133,Laguna,US,38.421,-121.4238,48.99,87,90,3.44,overcast clouds
134,Kaitangata,NZ,-46.2817,169.8464,45.0,91,20,1.99,few clouds
135,Dikson,RU,73.5069,80.5464,-35.57,82,29,9.35,scattered clouds
136,Ploemeur,FR,47.7333,-3.4333,51.8,93,90,23.02,light rain
137,Georgetown,MY,5.4112,100.3354,82.0,83,20,2.42,few clouds
138,Butaritari,KI,3.0707,172.7902,80.69,78,94,17.05,overcast clouds
139,Amboise,FR,47.4125,0.9827,51.01,93,90,13.8,overcast clouds
140,Arman,RU,59.7,150.1667,-16.58,77,11,16.24,few clouds
141,Belyy Yar,RU,53.6039,91.3903,-16.6,69,0,6.71,clear sky
142,Tasiilaq,GL,65.6145,-37.6368,15.8,41,75,17.27,broken clouds
143,Te Anau,NZ,-45.4167,167.7167,43.03,86,54,1.59,broken clouds
144,Nemuro,JP,43.3236,145.575,22.05,92,100,15.75,overcast clouds
145,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,14.97,clear sky
146,Katsuura,JP,35.1333,140.3,41.0,70,20,5.75,few clouds
147,Nkhotakota,MW,-12.9274,34.2961,77.07,75,72,2.37,light rain
148,La Rioja,ES,42.25,-2.5,41.0,87,22,4.0,few clouds
149,Saint-Pierre,RE,-21.3393,55.4781,80.6,65,0,9.22,light rain
150,Neka,IR,36.6508,53.299,50.65,81,71,2.66,broken clouds
151,Kruisfontein,ZA,-34.0033,24.7314,71.01,70,0,5.01,clear sky
152,Basco,PH,20.4487,121.9702,69.87,72,33,24.47,scattered clouds
153,Ambon,ID,-3.6954,128.1814,78.8,89,40,3.44,scattered clouds
154,Juan Lacaze,UY,-34.4342,-57.4381,71.6,88,90,20.71,moderate rain
155,Wilmington,US,34.2257,-77.9447,43.0,33,1,4.61,clear sky
156,Clyde River,CA,70.4692,-68.5914,-18.4,83,1,4.61,clear sky
157,Buala,SB,-8.145,159.5921,80.78,84,94,13.96,moderate rain
158,Aginskoye,RU,51.1,114.53,-18.29,86,100,2.51,overcast clouds
159,Namatanai,PG,-3.6667,152.4333,80.65,80,93,12.17,overcast clouds
160,Marsh Harbour,BS,26.5412,-77.0636,65.62,60,53,11.56,broken clouds
161,Awbari,LY,26.5921,12.7805,61.72,31,0,4.83,clear sky
162,Hobara,JP,37.8167,140.55,28.99,91,78,4.41,light snow
163,Avarua,CK,-21.2078,-159.775,77.0,94,98,1.14,overcast clouds
164,Juegang,CN,32.3174,121.1855,48.99,67,91,7.92,overcast clouds
165,Turukhansk,RU,65.8167,87.9833,-30.96,76,0,5.08,clear sky
166,Kenai,US,60.5544,-151.2583,16.0,85,1,3.44,clear sky
167,Henties Bay,NA,-22.116,14.2845,68.0,83,33,3.0,scattered clouds
168,Barrow,US,71.2906,-156.7887,-7.6,77,90,9.22,overcast clouds
169,Pevek,RU,69.7008,170.3133,-32.48,85,44,3.8,scattered clouds
170,Sur,OM,22.5667,59.5289,67.6,57,0,9.82,clear sky
171,Qui Nhon,VN,13.7667,109.2333,72.12,85,42,9.66,scattered clouds
172,Port Blair,IN,11.6667,92.75,79.68,80,1,8.14,clear sky
173,Borogontsy,RU,62.6683,131.1683,-47.18,75,94,1.01,overcast clouds
174,Maltahohe,NA,-24.8333,16.9833,89.65,10,7,7.25,clear sky
175,Saint Anthony,US,45.0205,-93.218,30.99,64,90,8.05,light snow
176,Pinyug,RU,60.251,47.7842,25.68,98,100,9.69,light snow
177,Sinalunga,IT,43.2152,11.7495,54.0,72,96,8.01,overcast clouds
178,Aklavik,CA,68.2191,-135.0107,-22.0,76,75,2.3,broken clouds
179,Karpathos,GR,35.507,27.2132,64.4,52,20,34.52,few clouds
180,Barcelos,PT,41.5388,-8.6151,55.4,82,40,9.22,scattered clouds
181,Sitka,US,57.0531,-135.33,37.4,60,75,6.91,broken clouds
182,Paamiut,GL,61.994,-49.6678,31.15,87,92,8.19,overcast clouds
183,Broome,US,42.2506,-75.833,19.0,67,90,10.36,light snow
184,Yulara,AU,-25.2406,130.9889,87.8,35,90,17.27,overcast clouds
185,Omsukchan,RU,62.5333,155.8,-31.63,80,100,7.0,overcast clouds
186,Cayenne,GF,4.9333,-52.3333,80.6,89,75,10.36,broken clouds
187,Mayo,US,38.8876,-76.5119,35.01,40,1,8.05,clear sky
188,Lianran,CN,24.9227,102.485,50.0,70,0,6.71,clear sky
189,Chuy,UY,-33.6971,-53.4616,84.74,48,7,11.48,clear sky
190,Carndonagh,IE,55.25,-7.2667,37.99,75,95,16.91,overcast clouds
191,Goderich,CA,43.7501,-81.7165,26.6,68,100,5.75,overcast clouds
192,Road Town,VG,18.4167,-64.6167,75.2,94,40,6.91,scattered clouds
193,Provideniya,RU,64.3833,-173.3,-11.69,83,61,6.85,broken clouds
194,Chokurdakh,RU,70.6333,147.9167,-28.93,85,3,7.11,clear sky
195,Itarema,BR,-2.9248,-39.9167,86.94,60,78,18.1,broken clouds
196,Saint-Francois,FR,46.4154,3.9054,51.8,76,90,5.75,overcast clouds
197,Pochutla,MX,15.7432,-96.4661,89.01,48,20,11.5,few clouds
198,Kayes,ML,14.0,-11.0,99.3,7,0,5.46,clear sky
199,Pangkalanbuun,ID,-2.6833,111.6167,74.5,95,100,0.87,overcast clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,73.99,60,1,3.44,clear sky
201,Cururupu,BR,-1.8283,-44.8683,87.75,59,48,8.88,scattered clouds
202,Cockburn Town,TC,21.4612,-71.1419,72.36,66,39,17.47,scattered clouds
203,Chimore,BO,-16.9833,-65.1333,79.05,93,89,3.62,overcast clouds
204,Hobyo,SO,5.3505,48.5268,76.71,74,7,15.59,clear sky
205,Manaure,CO,11.7751,-72.4445,85.24,49,12,20.58,few clouds
206,Saldanha,ZA,-33.0117,17.9442,67.3,81,0,13.49,clear sky
207,Mitu,CO,1.1983,-70.1733,81.77,88,77,3.11,broken clouds
208,Wewak,PG,-3.5534,143.6268,79.27,83,100,10.22,light rain
209,Zemio,CF,5.0314,25.1361,84.0,22,5,4.9,clear sky
210,Pisco,PE,-13.7,-76.2167,77.0,78,0,11.5,clear sky
211,Bengkulu,ID,-3.8004,102.2655,75.81,88,100,6.93,overcast clouds
212,Grindavik,IS,63.8424,-22.4338,26.6,74,40,20.71,scattered clouds
213,Kwinana,AU,-32.25,115.7667,75.99,40,0,14.97,clear sky
214,Pangnirtung,CA,66.1451,-65.7125,-11.2,84,1,4.61,clear sky
215,San Fernando,PH,15.0286,120.6898,68.0,77,75,3.44,broken clouds
216,Tres Picos,MX,15.8667,-93.5333,87.4,40,97,2.66,overcast clouds
217,Naze,JP,28.3667,129.4833,51.26,67,0,8.75,clear sky
218,Marsala,IT,37.7966,12.4352,57.2,94,40,9.22,scattered clouds
219,Sayansk,RU,54.1088,102.1648,-18.99,86,100,14.32,overcast clouds
220,Monterey,US,36.2505,-121.2516,45.0,1,51,3.0,broken clouds
221,Mecca,SA,21.4267,39.8261,71.08,36,5,8.01,clear sky
222,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,92.57,47,9,4.92,clear sky
223,Lahan,NP,26.7296,86.4951,53.78,45,0,2.55,clear sky
224,La Ronge,CA,55.1001,-105.2842,8.6,85,52,1.77,broken clouds
225,Bria,CF,6.5423,21.9863,86.23,18,0,4.83,clear sky
226,Lavrentiya,RU,65.5833,-171.0,-19.25,83,0,6.73,clear sky
227,Ajaccio,FR,42.0,8.9167,57.2,88,90,13.8,moderate rain
228,Norman Wells,CA,65.282,-126.8329,-27.4,68,75,2.3,broken clouds
229,Torbay,CA,47.6666,-52.7314,30.99,86,90,18.41,overcast clouds
230,San Jose De Sisa,PE,-6.6167,-76.6915,91.4,49,40,11.5,scattered clouds
231,Palmer,US,42.1584,-72.3287,21.0,41,20,4.61,few clouds
232,Otane,NZ,-39.8833,176.6333,46.99,90,7,3.53,clear sky
233,Ponta Delgada,PT,37.7333,-25.6667,64.99,94,40,16.11,scattered clouds
234,Qazax,AZ,41.0933,45.3661,42.75,71,57,3.4,broken clouds
235,Sarakhs,IR,36.5449,61.1577,59.0,36,0,7.27,clear sky
236,Port Hedland,AU,-20.3167,118.5667,84.2,74,94,9.22,moderate rain
237,Lorengau,PG,-2.0226,147.2712,81.9,81,100,12.68,overcast clouds
238,Rio Grande,BR,-32.035,-52.0986,84.2,74,75,11.5,broken clouds
239,Fort-Shevchenko,KZ,44.5086,50.263,36.68,81,100,13.38,overcast clouds
240,Rocha,UY,-34.4833,-54.3333,84.7,38,80,15.59,moderate rain
241,Ostrovnoy,RU,68.0531,39.5131,11.64,95,100,11.43,light snow
242,Hambantota,LK,6.1241,81.1185,78.17,83,90,11.77,overcast clouds
243,Vytegra,RU,61.0064,36.4481,21.9,97,95,7.14,overcast clouds
244,Sept-Iles,CA,50.2001,-66.3821,18.0,52,24,6.91,few clouds
245,Palora,EC,-1.7,-77.9333,71.6,83,90,4.61,light rain
246,Gazli,UZ,40.1333,63.45,52.25,42,94,11.16,overcast clouds
247,Gornyak,RU,50.9942,81.4661,8.26,90,0,3.6,clear sky
248,Ahipara,NZ,-35.1667,173.1667,55.22,79,0,4.94,clear sky
249,Coquimbo,CL,-29.9533,-71.3436,68.0,73,20,14.97,few clouds
250,Talnakh,RU,69.4865,88.3972,-30.91,71,0,5.64,clear sky
251,Rio Gallegos,AR,-51.6226,-69.2181,64.4,34,75,18.41,broken clouds
252,Lebu,CL,-37.6167,-73.65,62.31,70,4,9.33,clear sky
253,Dubti,ET,11.7361,41.0853,77.27,20,0,3.51,clear sky
254,Beringovskiy,RU,63.05,179.3167,-12.86,89,100,14.94,overcast clouds
255,Nago,JP,26.5881,127.9761,59.0,81,75,5.75,broken clouds
256,Ko Samui,TH,9.5357,99.9357,80.51,73,19,9.98,few clouds
257,Key Largo,US,25.0865,-80.4473,71.01,61,40,7.0,scattered clouds
258,Grand Gaube,MU,-20.0064,57.6608,79.0,81,0,3.0,clear sky
259,Sonthofen,DE,47.5167,10.2833,37.99,90,100,1.99,light rain
260,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.73,58,100,5.99,overcast clouds
261,Buraydah,SA,26.326,43.975,57.2,54,0,4.61,clear sky
262,Yerbogachen,RU,61.2767,108.0108,-40.92,80,87,4.32,overcast clouds
263,Riyadh,SA,24.6877,46.7219,62.6,29,0,8.05,clear sky
264,Victoria,HK,22.2855,114.1577,62.01,77,1,16.87,clear sky
265,Nalut,LY,30.3333,10.85,62.22,29,0,7.49,clear sky
266,Soe,ID,-9.8607,124.284,68.25,100,100,8.3,overcast clouds
267,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,0,9.22,light rain
268,Curup,ID,-3.4667,102.5333,67.82,94,100,2.91,overcast clouds
269,Samarkand,UZ,39.6542,66.9597,53.6,43,40,4.61,scattered clouds
270,Siniscola,IT,40.5719,9.6922,62.6,63,20,11.5,few clouds
271,Kualakapuas,ID,-3.0091,114.3876,77.0,100,75,1.01,broken clouds
272,Kahului,US,20.8947,-156.47,68.0,94,40,11.5,light rain
273,Batagay-Alyta,RU,67.8006,130.4114,-32.15,81,100,1.41,overcast clouds
274,Dingle,PH,10.9995,122.6711,71.74,90,99,10.31,overcast clouds
275,Casablanca,MA,33.5928,-7.6192,60.8,72,75,4.61,broken clouds
276,Nuuk,GL,64.1835,-51.7216,21.2,73,20,8.05,few clouds
277,Iracoubo,GF,5.4802,-53.2011,79.47,87,85,14.5,overcast clouds
278,Impfondo,CG,1.6381,18.0667,79.43,73,97,3.44,moderate rain
279,Salalah,OM,17.0151,54.0924,73.4,56,20,3.44,few clouds
280,Vardo,NO,70.3705,31.1107,30.2,86,75,24.16,light snow
281,Quatre Cocos,MU,-20.2078,57.7625,79.0,89,75,5.75,broken clouds
282,Christchurch,NZ,-43.5333,172.6333,55.99,93,5,5.75,clear sky
283,Tonk,IN,26.1667,75.7833,54.46,36,0,1.83,clear sky
284,Sioux Lookout,CA,50.1001,-91.917,21.2,79,90,8.05,light snow
285,Muroto,JP,33.2833,134.15,46.92,62,1,10.22,clear sky
286,Lakeway,US,30.3638,-97.9796,66.99,80,92,19.06,overcast clouds
287,Waingapu,ID,-9.6567,120.2641,77.52,86,100,16.98,overcast clouds
288,Manbij,SY,36.5281,37.9549,41.0,100,90,4.61,overcast clouds
289,Aksu,CN,41.1231,80.2644,21.54,79,0,1.59,clear sky
290,Alice Springs,AU,-23.7,133.8833,86.0,32,90,14.97,overcast clouds
291,Conde,BR,-7.2597,-34.9075,87.8,58,40,14.97,scattered clouds
292,Muscat,OM,23.6139,58.5922,66.2,72,0,1.14,clear sky
293,Isangel,VU,-19.55,169.2667,76.17,78,7,9.28,clear sky
294,Ambilobe,MG,-13.2,49.05,75.92,90,80,1.41,light rain
295,Rock Sound,BS,24.9,-76.2,68.09,63,87,15.05,overcast clouds
296,Teluknaga,ID,-6.0989,106.6381,77.0,94,40,3.44,heavy intensity rain
297,Fortuna,US,40.5982,-124.1573,50.0,71,90,23.02,overcast clouds
298,Hovd,MN,48.0056,91.6419,12.13,81,0,1.32,clear sky
299,Qasigiannguit,GL,68.8193,-51.1922,3.2,60,40,8.05,scattered clouds
300,Eston,CA,51.1501,-108.7514,1.99,85,90,8.05,mist
301,Hofn,IS,64.2539,-15.2082,23.27,87,95,21.21,overcast clouds
302,Miles City,US,46.4083,-105.8406,26.6,86,90,8.05,light snow
303,Araouane,ML,18.9048,-3.5265,83.3,13,26,7.07,scattered clouds
304,Matagami,CA,49.7502,-77.6328,-2.2,84,90,6.91,light snow
305,Gonzalez,US,30.5816,-87.2914,64.4,55,1,13.8,clear sky
306,Svetlogorsk,BY,52.6333,29.7333,23.02,98,100,3.98,light snow
307,Rabo De Peixe,PT,37.8,-25.5833,64.99,94,40,16.11,scattered clouds
308,Dongsheng,CN,39.8161,109.9776,21.25,77,0,14.92,clear sky
309,Jiazi,CN,22.8779,116.067,56.01,86,0,12.57,clear sky
310,Asau,RO,46.4333,26.4,39.2,70,0,3.44,clear sky
311,Aldan,RU,58.6031,125.3894,-39.73,79,98,3.04,overcast clouds
312,Brae,GB,60.3964,-1.353,33.8,86,40,9.22,scattered clouds
313,Santa Lucia,ES,27.9117,-15.5407,69.01,68,40,28.77,scattered clouds
314,Quelimane,MZ,-17.8786,36.8883,84.2,74,75,9.22,broken clouds
315,Santa Maria,BR,-29.6842,-53.8069,84.2,74,75,5.75,broken clouds
316,Adrar,MR,20.5022,-10.0711,84.4,13,31,11.59,scattered clouds
317,Dali,CN,25.7,100.1833,44.11,75,1,5.26,clear sky
318,Yantongshan,CN,43.2919,126.0094,-9.31,86,1,3.33,clear sky
319,Arlit,NE,18.7369,7.3853,77.68,14,22,9.28,few clouds
320,Whitecourt,CA,54.1502,-115.6855,-9.4,84,20,1.92,few clouds
321,Cabedelo,BR,-6.9811,-34.8339,87.8,58,40,14.97,scattered clouds
322,Warrington,GB,53.3925,-2.5802,39.99,70,20,21.85,few clouds
323,Chumikan,RU,54.7183,135.315,-13.49,82,100,21.45,overcast clouds
324,Guaratuba,BR,-25.8828,-48.5747,89.6,94,90,8.05,light intensity drizzle
325,Mount Gambier,AU,-37.8333,140.7667,53.6,87,5,5.75,clear sky
326,Hojai,IN,26.0,92.8667,64.51,48,88,0.74,overcast clouds
327,Iquique,CL,-20.2208,-70.1431,73.4,56,0,16.11,clear sky
328,Antofagasta,CL,-23.65,-70.4,73.99,60,20,12.66,few clouds
329,Otradnoye,RU,59.7775,30.8181,28.0,100,90,4.47,snow
330,Okitipupa,NG,6.5047,4.7839,85.19,65,0,8.1,clear sky
331,Kindu,CD,-2.95,25.95,78.31,71,100,1.61,light rain
332,Inuvik,CA,68.3499,-133.7218,-29.2,75,100,1.14,overcast clouds
333,Kamenka,RU,51.3223,42.7678,34.0,95,91,8.21,overcast clouds
334,Trincomalee,LK,8.5711,81.2335,79.34,83,61,13.6,broken clouds
335,Altamont,US,42.2068,-121.7372,35.6,69,90,13.8,overcast clouds
336,Talkha,EG,31.0539,31.3779,56.35,48,3,8.66,clear sky
337,Norsup,VU,-16.0667,167.3833,78.21,78,100,7.07,overcast clouds
338,Puerto Asis,CO,0.5133,-76.5007,89.6,48,20,10.36,few clouds
339,Padang,ID,-0.9492,100.3543,78.13,72,100,4.92,overcast clouds
340,Iberia,US,29.9502,-91.7507,68.0,82,90,11.5,overcast clouds
341,Fernie,CA,49.5,-115.0687,32.0,93,90,4.7,light snow
342,Beyneu,KZ,45.3167,55.2,33.39,93,66,4.52,broken clouds
343,Banda Aceh,ID,5.5577,95.3222,77.47,83,48,10.67,scattered clouds
344,Klaksvik,FO,62.2266,-6.589,35.6,93,75,2.3,broken clouds
345,Sailana,IN,23.4667,74.9167,58.35,33,0,9.6,clear sky
346,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,75,5.75,broken clouds
347,Esna,EG,25.2934,32.554,66.2,32,0,7.56,clear sky
348,Lexington Park,US,38.2668,-76.4538,37.4,40,1,11.5,clear sky
349,Pedernales,DO,18.0384,-71.744,80.22,59,6,6.96,clear sky
350,Macapa,BR,0.0389,-51.0664,82.4,89,75,2.3,broken clouds
